direction,stop,scheduled_time
to_broadway,WC BART,09:28
to_broadway,WC BART,09:48
to_broadway,WC BART,10:08
to_broadway,WC BART,10:28
to_broadway,WC BART,10:48
to_broadway,WC BART,11:08
to_broadway,WC BART,11:28
to_broadway,WC BART,11:48
to_broadway,WC BART,12:08
to_broadway,WC BART,12:28
to_broadway,WC BART,12:48
to_broadway,WC BART,13:08
to_broadway,WC BART,13:28
to_broadway,WC BART,13:48
to_broadway,WC BART,14:08
to_broadway,WC BART,14:28
to_broadway,WC BART,14:48
to_broadway,WC BART,15:08
to_broadway,WC BART,15:28
to_broadway,WC BART,15:48
to_broadway,WC BART,16:08
to_broadway,WC BART,16:28
to_broadway,WC BART,16:48
to_broadway,WC BART,17:08
to_broadway,WC BART,17:28
to_broadway,WC BART,17:48
to_broadway,WC BART,18:08
to_broadway,WC BART,18:28
to_broadway,S Broadway,09:37
to_broadway,S Broadway,09:57
to_broadway,S Broadway,10:17
to_broadway,S Broadway,10:37
to_broadway,S Broadway,10:57
to_broadway,S Broadway,11:17
to_broadway,S Broadway,11:37
to_broadway,S Broadway,11:57
to_broadway,S Broadway,12:17
to_broadway,S Broadway,12:37
to_broadway,S Broadway,12:57
to_broadway,S Broadway,13:17
to_broadway,S Broadway,13:37
to_broadway,S Broadway,13:57
to_broadway,S Broadway,14:17
to_broadway,S Broadway,14:37
to_broadway,S Broadway,14:57
to_broadway,S Broadway,15:17
to_broadway,S Broadway,15:37
to_broadway,S Broadway,15:57
to_broadway,S Broadway,16:17
to_broadway,S Broadway,16:37
to_broadway,S Broadway,16:57
to_broadway,S Broadway,17:17
to_broadway,S Broadway,17:37
to_broadway,S Broadway,17:57
to_broadway,S Broadway,18:17
to_broadway,S Broadway,18:37
to_bart,S Broadway,09:37
to_bart,S Broadway,09:57
to_bart,S Broadway,10:17
to_bart,S Broadway,10:37
to_bart,S Broadway,10:57
to_bart,S Broadway,11:17
to_bart,S Broadway,11:37
to_bart,S Broadway,11:57
to_bart,S Broadway,12:17
to_bart,S Broadway,12:37
to_bart,S Broadway,12:57
to_bart,S Broadway,13:17
to_bart,S Broadway,13:37
to_bart,S Broadway,13:57
to_bart,S Broadway,14:17
to_bart,S Broadway,14:37
to_bart,S Broadway,14:57
to_bart,S Broadway,15:17
to_bart,S Broadway,15:37
to_bart,S Broadway,15:57
to_bart,S Broadway,16:17
to_bart,S Broadway,16:37
to_bart,S Broadway,16:57
to_bart,S Broadway,17:17
to_bart,S Broadway,17:37
to_bart,S Broadway,17:57
to_bart,S Broadway,18:17
to_bart,S Broadway,18:37
to_bart,WC BART,09:51
to_bart,WC BART,10:11
to_bart,WC BART,10:31
to_bart,WC BART,10:51
to_bart,WC BART,11:11
to_bart,WC BART,11:31
to_bart,WC BART,11:51
to_bart,WC BART,12:11
to_bart,WC BART,12:31
to_bart,WC BART,12:51
to_bart,WC BART,13:11
to_bart,WC BART,13:31
to_bart,WC BART,13:51
to_bart,WC BART,14:11
to_bart,WC BART,14:31
to_bart,WC BART,14:51
to_bart,WC BART,15:11
to_bart,WC BART,15:31
to_bart,WC BART,15:51
to_bart,WC BART,16:11
to_bart,WC BART,16:31
to_bart,WC BART,16:51
to_bart,WC BART,17:11
to_bart,WC BART,17:31
to_bart,WC BART,17:51
to_bart,WC BART,18:11
to_bart,WC BART,18:31
to_bart,WC BART,18:51
